code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,25-26,fbref,understat,transfermarkt
1243,Robert,Green,Green,,547.0,,,,,,,,,a350680b,4390.0,11680
1616,Alexander,Manninger,Manninger,524.0,,,,,,,,,,eb55b1bc,277.0,5278
1632,Gareth,Barry,Barry,137.0,151.0,,,,,,,,,7dbbe367,590.0,3291
1718,John,Terry,Terry,75.0,,,,,,,,,,68517cfd,917.0,3160
1801,Paul,Robinson,Robinson,472.0,75.0,,,,,,,,,3515ba56,1667.0,3630
1822,Shay,Given,Given,315.0,,,,,,,,,,0db918ff,889.0,3146
2404,Michael,Carrick,Carrick,259.0,276.0,,,,,,,,,ab7263c1,654.0,3878
2513,Jamie,Murphy,Murphy,,69.0,,,,,,,,,6c96b263,6052.0,51730
3201,Stuart,Taylor,Taylor,597.0,506.0,,,,,,,,,30871c08,5580.0,3190
3736,John,O'Shea,O'Shea,342.0,,,,,,,,,,7c1f4685,729.0,3540
3773,Peter,Crouch,Crouch,336.0,347.0,590.0,,,,,,,,73d9bdc7,872.0,4072
5288,Gerhard,Tremmel,Tremmel,682.0,,,,,,,,,,4370cecc,1062.0,488
5589,Dean,Whitehead,Whitehead,,178.0,,,,,,,,,a32204c9,6328.0,13683
6744,Lee,Grant,Grant,574.0,329.0,520.0,237.0,604.0,,,,,,9dab6e3b,1742.0,13460
7525,Steven,Pienaar,Pienaar,533.0,,,,,,,,,,8056f6e6,924.0,4321
7551,Joleon,Lescott,Lescott,635.0,,,,,,,,,,62393d3b,664.0,4241
7638,Mark,Hudson,Hudson,,170.0,,,,,,,,,e4e3de44,,3640
7645,Phil,Jagielka,Jagielka,127.0,140.0,158.0,444.0,529.0,,,,,,3233eefd,587.0,13520
7906,Damien,Delaney,Delaney,107.0,121.0,,,,,,,,,210d9ecb,511.0,36861
7958,Jermain,Defoe,Defoe,355.0,52.0,46.0,,,,,,,,f1e8372d,735.0,3875
8380,James,Collins,Collins,452.0,441.0,,,,,,,,,c61f1719,655.0,12691
8432,José,Reina,Reina,,,,603.0,,,,,,,e358587b,1374.0,7825
9047,Glen,Johnson,Johnson,325.0,335.0,,,,,,,,,8cceca90,944.0,3881
9089,Ben,Foster,Foster,430.0,421.0,445.0,366.0,,376.0,,,,,d0b3ceb9,803.0,13572
9110,Shaun,Maloney,Maloney,162.0,,,,,,,,,,0558e236,1692.0,9508
9808,Zlatan,Ibrahimovic,Ibrahimovic,272.0,523.0,,,,,,,,,4cde5509,1741.0,3455
10318,Maarten,Stekelenburg,Stekelenburg,124.0,137.0,155.0,149.0,,,,,,,fefce889,846.0,4311
10460,Grant,Leadbitter,Leadbitter,284.0,,,,,,,,,,516f7fc1,5542.0,13796
10589,Brian,Murphy,Brian Murphy,,,537.0,,,,,,,,47e0ce24,4459.0,4190
11037,Rickie,Lambert,Lambert,447.0,,,,,,,,,,495de82c,816.0,49655
11334,Petr,Cech,Cech,2.0,2.0,1.0,,,,,,,,71672fa0,491.0,5658
11352,Bruno,Saltor Grau,Bruno,,58.0,50.0,,,,,,,,78803d03,6046.0,51528
11467,Billy,Jones,Jones,343.0,,,,,,,,,,aa3cb1ad,742.0,36866
11554,Julian,Speroni,Speroni,99.0,116.0,136.0,,,,,,,,8e65a5e5,523.0,12814
11735,Steve,Sidwell,Sidwell,,65.0,,,,,,,,,ed083afd,1007.0,13427
11829,Wayne,Routledge,Routledge,369.0,360.0,,,,,,,,,1d387eee,719.0,14066
11854,Daryl,Murphy,Murphy,,304.0,,,,,,,,,ac99973f,,31312
11948,Andy,Lonergan,Lonergan,,,,530.0,639.0,571.0,760.0,579.0,,,165cf989,7821.0,14044
11974,Eldin,Jakupovic,Jakupović,147.0,473.0,214.0,169.0,,573.0,627.0,,,,1148323a,1697.0,2857
12002,Stewart,Downing,Downing,282.0,,,,,,,,,,b13c4620,1712.0,4063
12086,Boaz,Myhill,Myhill,429.0,420.0,,,,,,,,,7ca2d989,820.0,3838
12150,Glenn,Whelan,Whelan,329.0,339.0,,,,,,,,,d5bd56a5,862.0,12124
12390,Allan,McGregor,McGregor,146.0,,,,,,,,,,f3a97d02,4409.0,9422
12413,Robert,Huth,Huth,173.0,194.0,,,,,,,,,0bd1ea64,747.0,2998
12496,Víctor,Valdés,Valdés,274.0,,,,,,,,,,e029e404,1705.0,7589
12679,Michael,Dawson,Dawson,150.0,,,,,,,,,,4771114f,1744.0,9988
12744,David,Nugent,Nugent,291.0,,,,,,,,,,f9b5e5bd,1753.0,33963
12745,Leighton,Baines,Baines,125.0,138.0,156.0,145.0,,,,,,,b18095b6,588.0,13507
12813,Jonathan,Walters,Walters,330.0,89.0,81.0,,,,,,,,0356cf4f,863.0,3306
13017,Wayne,Rooney,Rooney,269.0,161.0,,,,,,,,,f07be45a,629.0,3332
13152,Andy,King,King,178.0,201.0,,480.0,,,,,,,d790907f,784.0,56872
14075,Patrice,Evra,Evra,,626.0,,,,,,,,,51a3caf1,1298.0,5285
14295,Darren,Fletcher,Fletcher,439.0,346.0,,,,,,,,,184e4970,809.0,3547
14664,Gnegneri Yaya,Touré,Yaya Touré,231.0,249.0,,,,,,,,,c204f844,878.0,13091
14927,Greg,Halford,Halford,,,97.0,,,,,,,,06d45e81,,42062
14937,Cristiano Ronaldo,dos Santos Aveiro,Ronaldo,,,,,,579.0,326.0,,,,dea698d9,2371.0,8198
15033,Wes,Morgan,Morgan,167.0,191.0,215.0,165.0,216.0,,,,,,80c31c97,748.0,10003
15109,Tom,Huddlestone,Huddlestone,160.0,,,,,,,,,,464cbbc9,1695.0,13465
15114,Leon,Britton,Britton,370.0,361.0,,,,,,,,,b92dd711,830.0,40043
15137,Liam,Rosenior,Rosenior,,60.0,,,,,,,,,8b0d6fe9,4462.0,15166
15144,David,Marshall,Marshall,554.0,,,,,,,,,,4d93d433,1684.0,9500
15149,Simon,Francis,Francis,31.0,32.0,26.0,62.0,,,,,,,1e0b6a73,456.0,13573
15157,James,Milner,Milner,208.0,222.0,254.0,200.0,241.0,221.0,274.0,142.0,134.0,170.0,2f90f6b8,489.0,3333
15208,Bastian,Schweinsteiger,Schweinsteiger,265.0,,,,,,,,,,ccc22fea,907.0,2514
15237,Andrew,Surman,Surman,39.0,41.0,35.0,80.0,,,,,,,7d41b619,460.0,29975
15276,Joey,Barton,Barton,626.0,,,,,,,,,,93bfa675,4430.0,3292
15633,Alex,Baptiste,Baptiste,522.0,,,,,,,,,,7b72f0b6,1783.0,16660
15749,Joe,Hart,Hart,218.0,479.0,490.0,95.0,482.0,352.0,,,,,cb4f24c6,609.0,40204
15885,Adam,Federici,Federici,30.0,31.0,,,,,,,,,e5ea8be7,469.0,4233
15944,Michael,Kightly,Kightly,66.0,,,,,,,,,,26e5c484,1668.0,25366
15982,Dean,Marney,Marney,64.0,83.0,,,,,,,,,b3379356,1658.0,4055
16045,Ben,Watson,Watson,418.0,486.0,,,,,,,,,df540668,571.0,14081
17127,Per,Mertesacker,Mertesacker,4.0,5.0,,,,,,,,,5be28712,507.0,6710
17336,Gaël,Clichy,Clichy,223.0,,,,,,,,,,450ad405,613.0,7449
17339,Steven,Davis,Davis,305.0,316.0,337.0,,,,,,,,cf15bbb1,883.0,28973
17349,Aaron,Lennon,Lennon,142.0,153.0,83.0,430.0,,575.0,,,,,2ff964a0,593.0,14221
17476,Vincent,Kompany,Kompany,222.0,244.0,263.0,,,,,,,,d2bff301,612.0,9594
17601,Scott,Carson,Carson,,,,562.0,608.0,593.0,502.0,347.0,344.0,,3e1550ee,8158.0,14555
17740,Jesús,Navas,Navas,232.0,,,,,,,,,,3f10bd22,616.0,15956
17745,Kasper,Schmeichel,Schmeichel,165.0,189.0,213.0,168.0,217.0,200.0,248.0,,,,53af52f3,745.0,16911
17761,James,Tarkowski,Tarkowski,59.0,79.0,72.0,84.0,81.0,98.0,199.0,265.0,236.0,291.0,15ea812b,1665.0,173504
17878,Cesc,Fàbregas,Fàbregas,83.0,105.0,123.0,,,,,,,,33508c78,686.0,8806
17997,Phil,Bardsley,Bardsley,323.0,334.0,75.0,86.0,82.0,99.0,,,,,1ae30132,857.0,15773
18006,Martin,Cranie,Cranie,,168.0,,,,,,,,,9e53837d,6344.0,27659
18008,James,Morrison,Morrison,441.0,428.0,,,,,,,,,21a66e33,990.0,27614
18073,Mark,Noble,Noble,458.0,450.0,411.0,396.0,427.0,406.0,,,,,ff527768,533.0,31835
18155,Mathieu,Flamini,Flamini,576.0,,,,,,,,,,148d4105,895.0,17396
18440,Leon,Clarke,Clarke,,,,547.0,,,,,,,91c975a0,8061.0,36859
18499,Michael,McGovern,McGovern,,,,281.0,,313.0,,,,,51a19d04,8022.0,29391
18507,Diego,Da Silva Costa,Diego Costa,97.0,114.0,,,,,625.0,,,,a190d597,802.0,44779
18656,Heurelho da Silva,Gomes,Gomes,407.0,397.0,373.0,513.0,,,,,,,d596e193,564.0,105112
18665,Alexander,Tettey,Tettey,,,,289.0,,,,,,,75566759,791.0,12384
18726,Artur,Boruc,Boruc,29.0,30.0,25.0,73.0,,,,,,,34ccf6fa,455.0,15220
18759,Álvaro,Arbeloa,Arbeloa,568.0,,,,,,,,,,6dc73abd,1704.0,28260
18805,Joe,Ledley,Ledley,113.0,,,,,,,,,,c221f149,517.0,34409
18832,Richard,Stearman,Stearman,,,,296.0,,,,,,,9a3a436e,7989.0,34349
18867,Billy,Sharp,Sharp,,,,298.0,343.0,,,,,,e8c9f4e9,7712.0,49542
18892,Ashley,Young,Young,260.0,277.0,293.0,224.0,,52.0,538.0,588.0,238.0,,be927d03,631.0,14086
18987,Robert,Snodgrass,Snodgrass,155.0,448.0,489.0,393.0,428.0,,,,,,9f4647e9,1691.0,22614
19057,Sebastian,Larsson,Larsson,349.0,,,,,,,,,,b26efc36,740.0,31720
19071,Uwe,Hünemeier,Hünemeier,,57.0,,,,,,,,,f42456eb,4258.0,10503
19101,Dimitrios,Konstantopoulos,Konstantopoulos,273.0,,,,,,,,,,05778dfe,1767.0,50552
19115,Curtis,Davies,Davies,149.0,,,,,,,,,,607fb965,1686.0,18227
19151,Chris,Brunt,Brunt,438.0,434.0,,,,,,,,,ec7e6ad1,904.0,36814
19159,Ashley,Williams,Williams,359.0,143.0,159.0,,,,,,,,a498e276,709.0,67355
19188,Scott,Dann,Dann,104.0,118.0,139.0,127.0,486.0,,,,,,52105203,512.0,62688
19194,David,Martin,Martin,,,,553.0,429.0,,,,,,07666c20,8082.0,15930
19197,Jason,Puncheon,Puncheon,110.0,125.0,146.0,,,,,,,,fd3f57ce,514.0,47995
19236,John,Ruddy,Ruddy,,,421.0,412.0,453.0,452.0,,,414.0,753.0,da8b19e2,785.0,29712
19272,Gareth,McAuley,McAuley,436.0,425.0,,,,,,,,,ac7d7378,806.0,40567
19342,Ikechi,Anya,Anya,419.0,,,,,,,,,,c55e973d,577.0,107427
19419,Gary,Cahill,Cahill,78.0,98.0,114.0,503.0,125.0,,,,,,7914b9fe,699.0,27511
19520,Ryan,Babel,Babel,,,575.0,,,,,,,,6438d426,5176.0,16135
19523,Sol,Bamba,Bamba,,,91.0,,,,,,,,5534217d,4027.0,28984
19524,Santiago,Cazorla,Cazorla,15.0,17.0,,,,,,,,,e2e9c250,965.0,15799
19556,David,Jones,Jones,61.0,,,,,,,,,,2f0edbe7,1787.0,24634
19568,Ibrahim,Afellay,Afellay,332.0,341.0,,,,,,,,,9a8c6673,864.0,15760
19624,João Filipe Iria,Santos Moutinho,Moutinho,,,475.0,415.0,454.0,426.0,503.0,,,,f5a00fa4,3422.0,29364
19687,Alex,Bruce,Bruce,154.0,,,,,,,,,,102ed2b2,4411.0,37957
19760,Fernando,Llorente,Llorente,500.0,371.0,371.0,,,,,,,,82dbf623,1728.0,35564
19812,Dusan,Kuciak,Kuciak,517.0,,,,,,,,,,c78c8c27,1772.0,31886
19838,Robert,Elliot,Elliot,,286.0,307.0,573.0,,574.0,,,,,b1b25949,763.0,39037
20037,Marc,Pugh,Pugh,38.0,40.0,34.0,,,,,,,,9aacb284,466.0,36939
20046,Stefano,Okaka,Okaka,552.0,418.0,397.0,,,,,,,,601ef102,1763.0,35249
20047,Jordan,Rhodes,Rhodes,292.0,,,,,,,,,,3b8b641c,1714.0,48950
20066,Wayne,Hennessey,Hennessey,100.0,115.0,135.0,132.0,126.0,480.0,518.0,448.0,721.0,,76eca7e2,509.0,45494
20145,Adrian,Mariappa,Mariappa,556.0,405.0,382.0,356.0,,,,,,,8aa5f52c,524.0,38145
20208,Charlie,Adam,Adam,328.0,338.0,,,,,,,,,aff418dc,873.0,28990
20310,Willy,Caballero,Caballero,219.0,96.0,112.0,112.0,101.0,641.0,424.0,,,,a179d516,624.0,19948
20399,Antonio,Barragán,Barragán,477.0,,,,,,,,,,487d9b09,1706.0,32522
20452,Shane,Long,Long,313.0,325.0,347.0,315.0,361.0,519.0,,,,,9f472354,839.0,37304
20467,Theo,Walcott,Walcott,13.0,15.0,164.0,153.0,148.0,332.0,400.0,,,,1ecb65be,503.0,33713
20480,Tim,Krul,Krul,,540.0,,280.0,,314.0,,665.0,,,f23f9d20,982.0,33027
20481,Stephen,Ireland,Ireland,327.0,590.0,,,,,,,,,bcf30f17,867.0,34838
20487,Vito,Mannone,Mannone,339.0,,,,,,,,,,c4173f1a,726.0,33781
20529,Glenn,Murray,Murray,,71.0,62.0,44.0,53.0,,,,,,f2f29dda,882.0,45693
20658,Pablo,Zabaleta,Zabaleta,221.0,447.0,405.0,379.0,,,,,,,6813ac34,610.0,20007
20664,David,Silva,David Silva,230.0,248.0,271.0,219.0,,,,,,,e2716bd0,617.0,35518
20669,Shaun,MacDonald,MacDonald,41.0,,,,,,,,,,fdcff59c,471.0,10375
20695,Antonio,Valencia,Valencia,250.0,267.0,288.0,,,,,,,,08aa17d0,627.0,33544
21083,Nathan,Dyer,Dyer,376.0,366.0,,,,,,,,,6dfd5af0,783.0,37011
21123,Valon,Behrami,Behrami,420.0,410.0,,,,,,,,,d3d758d8,570.0,21905
21205,Tom,Heaton,Heaton,54.0,74.0,67.0,94.0,28.0,509.0,348.0,384.0,374.0,434.0,a6de6361,1651.0,34130
21246,Lewis,Grabban,Grabban,51.0,,,,,,,,,,1a857282,467.0,35413
26719,Rene,Gilmartin,Gilmartin,683.0,,,,,,,,,,f1b7c957,969.0,66518
26901,Kevin,Mirallas,Mirallas,133.0,148.0,469.0,,,,,,,,aa51343f,595.0,33639
26921,Arouna,Koné,Koné,144.0,,,,,,,,,,f9a72ca4,601.0,8552
27334,Mathieu,Debuchy,Debuchy,8.0,564.0,,,,,,,,,92232aad,967.0,27306
27335,Stephan,Lichtsteiner,Lichtsteiner,,,11.0,,,,,,,,99b1d0e6,1303.0,2865
27341,Yohan,Cabaye,Cabaye,118.0,129.0,,,,,,,,,ad7b19ef,516.0,29434
27436,David,McGoldrick,McGoldrick,,,,303.0,344.0,,,,,,dbe56a33,7711.0,35416
27462,Jesús,Gámez Duarte,Gámez,,293.0,,,,,,,,,bd1d1cbb,2329.0,29055
27698,Matthew,Connolly,Connolly,,,93.0,,,,,,,,2797fc1d,7237.0,34559
27707,Darron,Gibson,Gibson,138.0,,,,,,,,,,f0e72e1c,921.0,42413
27770,Birkir,Bjarnason,Bjarnason,,,,33.0,,,,,,,da13074e,8269.0,34453
27789,Fernando,Luiz Rosa,Fernandinho,233.0,250.0,272.0,221.0,266.0,453.0,,,,,101da2b5,614.0,26267
28082,Ralf,Fahrmann,Fahrmann,,,,449.0,,,,,,,1e43fad8,330.0,39015
28147,Mohamed,Diamé,Diamé,159.0,298.0,319.0,,,,,,,,b7d082af,4471.0,70950
28160,Mario,Suárez,Suárez,423.0,,,,,,,,,,7106f0a0,576.0,37337
28244,George,Boyd,Boyd,62.0,,,,,,,,,,0a9048ce,1656.0,45623
28411,Keylor,Navas,Navas,,,,,,,729.0,,,,ecada4fc,2243.0,79422
28448,Lee,Cattermole,Cattermole,348.0,,,,,,,,,,538e77d5,738.0,37363
28462,Sam,Baldock,Baldock,,73.0,64.0,,,,,,,,9d597f08,6430.0,67211
28468,Craig,Gardner,Gardner,440.0,,,,,,,,,,1117b9ff,812.0,37171
28495,John Obi,Mikel,Mikel,89.0,,,,,,,,,,424d5f72,685.0,30739
28541,Fraizer,Campbell,Campbell,121.0,,,,,,,,,,81d63375,634.0,42411
28554,Samir,Nasri,Nasri,229.0,,569.0,,,,,,,,165bed61,877.0,18935
28593,Victor,Anichebe,Anichebe,575.0,,,,,,,,,,4aed5c19,818.0,39532
28609,Adam,Legzdins,Legzdins,,545.0,,,,,,,,,f5b114ca,6302.0,43858
28654,Martin,Olsson,Olsson,633.0,358.0,,,,,,,,,2f72f79e,798.0,38073
28690,Pablo,Hernández Domínguez,Hernández,,,,,193.0,182.0,,,,,c0398aca,2164.0,46220
32259,Darren,Randolph,Randolph,451.0,439.0,,606.0,430.0,407.0,571.0,80.0,,,6385ebfb,540.0,51321
32318,Marc,Wilson,Marc Wilson,319.0,,,,,,,,,,c325c010,945.0,30456
33148,Claudio,Bravo,Bravo,541.0,241.0,261.0,213.0,267.0,,,,,,10072610,1731.0,40423
33871,Ragnar,Klavan,Klavan,474.0,220.0,244.0,,,,,,,,008a6e6d,265.0,26669
34654,Lukas,Jutkiewicz,Jutkiewicz,69.0,,,,,,,,,,3943a06f,1664.0,33507
36903,Gareth,Bale,Bale,,,,,543.0,,,,,,a58bb1e1,2251.0,39381
37002,Rouwen,Hennings,Hennings,71.0,,,,,,,,,,17611373,7060.0,16311
37096,Lukasz,Fabianski,Fabianski,356.0,350.0,400.0,388.0,431.0,408.0,455.0,533.0,521.0,738.0,9328b835,706.0,29692
